coffee_name,total_score,roast_level,agtron_ground,agtron_roast,price_per_100g,roaster_country,origin_country
Pantan Musara Sumatra,94,Medium Light,57,80,6.76,USA,Indonesia
Ethiopia Yirgacheffe Misty Valley Aricha Washed G1,94,Light,65,93,149.47,Taiwan,Ethiopia
Guatemala El Soccoro Maracaturra Washed,94,Medium Light,60,78,5.88,USA,Guatemala
Ethiopia Sidama Bensa Alo Single Variety 74158 Natural,94,Light,66,88,743.36,Taiwan,Ethiopia
El Salvador Loma La Gloria Unicorn Natural,95,Light,64,88,10.23,USA,El Salvador
Costa Rica Las Lajas SL-28 Natural,94,Light,58,84,8.82,USA,Costa Rica
Ethiopia Faysel Abdosh,94,Light,64,88,5.88,USA,Ethiopia
Kenya Kii,94,Medium Light,58,82,10.4,USA,Kenya
Ethiopia Guji Bishala G1 Red Honey,94,Medium Light,58,80,202.82,Taiwan,Ethiopia
Ethiopia Sidama Bensa Shantawene Gatta Kenean Dukamo Anaerobic Natural G1,94,Light,66,89,317.46,Taiwan,Ethiopia
Kenya Nyeri Hill AB,96,Medium Light,58,82,6.91,USA,Kenya
Ethiopia Sidama  Bombe Natural,94,Light,61,85,175.0,Taiwan,Ethiopia
Ethiopia Kayon Mountain,95,Light,64,88,7.05,USA,Ethiopia
Colombia Red Sunset,94,Light,60,84,7.94,USA,Colombia
Ethiopia Gesha Village Lot 108,94,Light,66,89,60.0,USA,Ethiopia
Panama Geisha Vuelta DRD Natural Lot GN-01,97,Light,64,88,2000.0,USA,Panama
Panama Kaizen Lot GW-01,96,Light,65,90,2000.0,USA,Panama
Kona Geisha Champagne Natural,95,Light,64,88,176.37,USA,USA
Ethiopia Nano Genji Lot #8,94,Light,64,84,6.47,USA,Ethiopia
Colombia Hacienda La Pradera Mokka,94,Light,64,88,12.35,USA,Colombia
La Piragua Pink Bourbon Colombia,94,Light,62,84,6.47,USA,Colombia
Kenya Baragwi Guama,94,Medium Light,60,78,6.47,USA,Kenya
Ethiopia Washed Uraga More Floral Kurume Espresso,95,Medium Light,58,79,119.05,Taiwan,Ethiopia
Ethiopia Natural Sidama ALO Village FL,95,Light,62,84,423.28,Taiwan,Ethiopia
Ethiopia Washed Sidama Bura Karamo 74158,95,Light,64,84,141.09,Taiwan,Ethiopia
Ethiopia Natural Guji Hambella Wamena Buku G1,94,Light,64,88,141.09,Taiwan,Ethiopia
Guatemala Naranjas Nadando,95,Light,62,84,7.76,USA,Guatemala
Songstress Geisha,95,Light,64,86,163.14,Taiwan,Ethiopia
Ethiopia Gesha Village Surma 1931 Mossto Anaerobic Honey,95,Light,62,84,23.52,USA,Ethiopia
Panama Bambito Estate Geisha,95,Light,64,88,34.17,USA,Panama
Colombia Efren Echeverry,94,Light,62,84,7.35,USA,Colombia
Pueo Blend,94,Medium Light,50,77,7.05,USA,Unknown
Wai Meli Morning,94,Medium Light,54,72,10.58,USA,Unknown
Ayla Bombe Natural,94,Light,63,87,6.47,USA,Ethiopia
Wilton Benitez Striped Bourbon Colombia,94,Light,62,84,11.02,USA,Colombia
Buena Vista Pink Bourbon Colombia,94,Medium Light,59,77,9.7,USA,Colombia
Yunlin Washed Geisha,96,Light,64,90,666.67,Taiwan,Taiwan
Ethiopia Banko Washed,96,Light,62,84,7.05,USA,Ethiopia
Colombia Villa Betulia CM Sidra,96,Light,60,84,20.28,USA,Colombia
Ethiopia Anaerobic Worka Sakaro,95,Light,66,92,7.05,USA,Ethiopia
Costa Rica Hacienda Sonora Natural Milenio,94,Light,62,84,8.38,USA,Costa Rica
Costa Rica Alma Negra Natural,94,Light,58,88,7.35,USA,Costa Rica
El Salvador Finca Santa Sofia Natural Kenya,94,Light,68,94,9.7,USA,El Salvador
Colombia Aponte Honey,94,Light,64,88,6.76,USA,Colombia
Finca Huixoc Geisha,94,Light,60,82,7.05,Guatemala,Guatemala
Costa Rica Rivense Finca El Mango Honey Process,94,Light,62,84,4.7,USA,Costa Rica
El Salvador Unicorn,94,Medium Light,58,80,10.58,USA,El Salvador
Kenya Kiamwangi Factory AA TOP,94,Medium Light,60,80,171.52,Taiwan,Kenya
Ethiopia Sidama Bensa Hamasho Washed TOH#2,94,Light,64,86,153.88,Taiwan,Ethiopia
Costa Rica Red Java Honey Finca Los Pinitos,95,Light,60,88,8.52,USA,Costa Rica
Costa Rica Finca El Cañal Double Diamond,94,Light,62,86,8.23,USA,Costa Rica
Honduras Roger Dominguez,94,Light,66,88,8.82,USA,Honduras
Ngurueri Kenya,94,Light,62,80,6.47,USA,Kenya
Cruz Loma Ecuador,94,Light,60,82,9.7,USA,Ecuador
Colombia Monteblanco Nectar Citrullus Secret Stash,94,Medium Light,58,82,8.82,USA,Colombia
Costa Rica La Laguna Lot Secret Stash,94,Light,64,86,8.82,USA,Costa Rica
Ballista Espresso,94,Medium Light,56,74,5.42,USA,Brazil
Ethiopia Natural Lion 88,94,Light,66,90,220.46,Taiwan,Ethiopia
Panama Lamastus Family Elida Estate Loma Geisha Washed,97,Light,64,88,0.88,Taiwan,Panama
Colombia El Paraiso Geisha Anti-Maceration,95,Light,70,94,58.0,Japan,Colombia
Ethiopia Alo Chilaka Natural,94,Light,66,88,6.47,USA,Ethiopia
Panama Bambito Gesha,94,Light,62,84,24.25,USA,Panama
Panama Geisha Vuelta DRD Natural,97,Light,66,88,77.6,USA,Panama
Kona S12 Kaffa Washed,96,Light,67,94,88.18,USA,USA
Kona Geisha Rosé Washed,96,Light,64,88,88.18,USA,USA
