coffee_name,total_score,roast_level,agtron_ground,agtron_roast,price_per_100g,roaster_country,origin_country
Colombia Buenavista Ataraxia Geisha,94,Medium,50,65,8.82,Taiwan,Colombia
Kona Espresso Special Selection,94,Medium Light,58,74,30.84,USA,USA
El Salvador Finca Loma La Gloria Natural Process “Unicorn Lot”,94,Light,66,97,5.88,USA,El Salvador
Colombia El Diviso Nestor Lasso Sidra Anaerobic Washed,94,Medium Light,57,74,352.42,Taiwan,Colombia
Colombia Red Fruits Campo Hermosa Edwin Noreña,94,Light,62,81,11.76,USA,Colombia
Juru Rwanda Rulindo Red Bourbon Honey,94,Medium,40,67,244.44,Taiwan,Rwanda
Colombia Granja Paraiso-92 Castillo,94,Light,62,84,8.82,USA,Colombia
Ethiopia Dame Dabaye,94,Medium,41,76,6.47,USA,Ethiopia
Colombia Red Honey Geisha Campo Hermoso,95,Light,59,86,9.41,USA,Colombia
Ethiopia Sidama Karamo Anaerobic Natural,94,Medium Light,54,78,8.52,USA,Ethiopia
Colombia Chiroso Caturra Washed,95,Light,65,81,12.0,USA,Colombia
Kona SL 34 Anaerobic Washed Kona Rainforest,95,Light,65,81,52.91,USA,USA
Colombia Yellow Geisha Granja Paraiso 92,94,Light,64,84,35.27,USA,Colombia
Yaye Chericho Ethiopia Espresso,95,Medium Light,60,78,9.7,USA,Ethiopia
Colombia Chachagüí Mild Roast,94,Light,64,86,6.17,USA,Colombia
Colombia Thermal Shock Double Anaerobic Granja Paraiso Orange Gesha,95,Light,64,80,396.83,Taiwan,Colombia
Kenya Nyeri Hill Estate AA Top Espresso,94,Medium Light,60,80,127.87,Taiwan,Kenya
Colombia Granja Paraiso 92 Anaerobic Gesha,94,Light,62,84,396.83,Taiwan,Colombia
Putra Gayo Sumatra Espresso,95,Medium Light,59,77,6.76,USA,Indonesia
Colombia Paraiso 92 Geisha Double Anaerobic,95,Light,62,82,375.0,Taiwan,Colombia
Kenya Blackberry Honey,94,Light,62,80,175.0,Taiwan,Kenya
Putra Gayo Sumatra,94,Medium Light,59,77,6.76,USA,Indonesia
Ethiopia Sidamo Heidenröslein Anaerobic Washed G1,94,Light,67,86,154.19,Taiwan,Ethiopia
Kenya Gachika,94,Light,62,80,6.17,USA,Kenya
Ethiopia Agaro Duromina,94,Medium Light,58,77,7.64,USA,Ethiopia
Hey Much Espresso Blend,94,Medium Light,56,80,99.21,Taiwan,Colombia
Ethiopia Black Honey Guji Wate Lot Tabby,94,Light,63,81,149.91,Taiwan,Ethiopia
Finca Vista Hermosa Edwin’s Reserve Guatemala,94,Light,63,81,6.27,USA,Guatemala
Costa Rica Las Lajas Perla Negra,95,Medium Light,58,80,5.57,USA,Costa Rica
Kenya AA Top Gicherori Espresso,95,Medium,44,62,275.0,Taiwan,Kenya
Kagunyu Kenya,94,Medium Light,60,78,6.47,USA,Kenya
Colombia Finca Milan Washed Nitro Caturra,95,Light,64,84,9.41,USA,Colombia
Ethiopia JemJem,94,Light,62,80,7.05,USA,Ethiopia
Guatemala La Esperanza Anaerobic,94,Light,64,86,7.05,USA,Guatemala
Sumatra Pantan Musara,94,Medium Light,60,78,6.47,USA,Indonesia
Costa Rica Candelilla Gesha,94,Light,64,84,10.29,USA,Costa Rica
Kona Red Bourbon Anaerobic Washed Kona Rainforest,95,Light,60,82,52.91,USA,USA
Colombia Geisha Claudia Samboni,95,Medium Light,61,80,8.82,USA,Colombia
Ethiopia Ethiopia Limu Baby Geisha Natural,94,Medium Light,56,84,190.0,Taiwan,Ethiopia
Panama Hacienda La Esmeralda Ethiopian Accessions,94,Light,65,84,35.27,USA,Panama
Yellow,94,Light,74,100,6.32,USA,Ethiopia
Kona Noir,95,Light,62,84,20.81,USA,USA
Laura’s Reserve SL34,97,Light,62,80,30.84,USA,Unknown
Panama Mokkita Natural Mama Cata Estate,96,Light,64,82,220.46,USA,Panama
Ka‘ū Cloud Maragogipe,95,Medium Light,58,76,25.57,USA,USA
Geisha Champagne,94,Medium Light,58,77,72.31,USA,Unknown
JN Farms Double Anaerobic Red Bourbon,94,Light,64,82,14.11,USA,Unknown
Ka‘ū Classic Peaberry,94,Medium Light,58,74,15.12,USA,USA
100% Kona Typica,94,Medium Light,58,80,14.08,USA,USA
Colombia 510 Elegante Natural Geisha,95,Light,62,82,8.82,USA,Colombia
Colombia Turron,94,Medium Light,58,78,8.82,USA,Colombia
Black Geisha Blend Lab 18 Espresso,94,Medium,43,61,17.64,Taiwan,Ethiopia
Ethiopia Layo Teraga,95,Light,62,80,6.76,USA,Ethiopia
Ethiopia Reko Yirgacheffe,94,Medium Light,58,76,7.2,USA,Ethiopia
Colombia Huila El Diviso Nestor Lasso Geisha Washed,95,Light,66,84,343.61,Taiwan,Colombia
Ethiopia Bensa Bombe,94,Light,64,86,88.18,Taiwan,Ethiopia
Colombia  Nariño Villa Maria La Chorrera Geisha Washed,94,Medium Light,60,76,312.78,Taiwan,Colombia
Kenya Kirinyaga County Gikirima Factory TOP PB,94,Medium Light,60,78,105.73,Taiwan,Kenya
Colombia Huila Finca Buena Vista Geisha Washed,94,Medium Light,60,80,286.34,Taiwan,Colombia
Wilton Benitez Geisha,96,Light,62,80,11.9,USA,Colombia
Ethiopia Natural Guji Blue Donkey 23/02,95,Medium Light,62,78,143.3,Taiwan,Ethiopia
Ethiopia Natural Sidama Arbegona Bochessa,95,Light,64,86,143.3,Taiwan,Ethiopia
Peru Natural Villa Rica Espresso,94,Medium Light,58,78,110.23,Taiwan,Peru
Costa Rica TIM Washed Don Eli Catuai,94,Medium Light,58,74,238.1,Taiwan,Costa Rica
Ethiopia Natural Sidama Twakok Pearl Selection,94,Light,62,80,132.28,Taiwan,Ethiopia
Kenya Washed Uklili AA,94,Light,64,86,143.3,Taiwan,Kenya
Peach-C Blend,94,Light,62,84,161.38,Taiwan,Colombia
Colombia Jaime Lopez,94,Light,62,82,11.76,USA,Colombia
Cordillera de Fuego Costa Rica,94,Medium Light,59,77,7.94,USA,Costa Rica
Nyeri Hill Kenya,94,Medium Light,56,74,6.47,USA,Kenya
Ethiopia Guji 74110 Natural,94,Light,64,86,242.29,Taiwan,Ethiopia
Good Tidings Sweet Holiday Blend,94,Medium Light,60,78,6.47,USA,Ethiopia
Kona Mokka Champagne Natural,95,Light,64,86,88.18,USA,USA
Ethiopia Banko Gotiti,94,Light,64,82,200.0,Taiwan,Ethiopia
O-Li-A Geisha Blend,94,Light,64,86,427.31,Taiwan,Ethiopia
Colombia Huila El Triunfo Pink Bourbon Anaerobic Washed,94,Medium Light,52,78,237.65,Taiwan,Colombia
Costa Rica Volcán Azul Gesha Anaerobic Natural,94,Light,64,80,26.01,USA,Costa Rica
Chang-E The Moon Goddess Espresso,94,Medium,46,70,286.6,Taiwan,Ethiopia
GW03 Princesa Carmen Geisha,98,Medium Light,58,74,10.0,Taiwan,Panama
El Salvador Finca Loma La Gloria Yellow Honey,94,Medium Light,58,78,5.88,USA,El Salvador
Costa Rica La Laguna Lot — Reserve Series,94,Medium Light,60,78,6.76,USA,Costa Rica
Rwanda Silverback Plus Espresso,95,Light,48,689,352.73,Taiwan,Rwanda
Colombia El Paraiso Geisha Luna Washed,95,Light,70,85,27.0,Japan,Colombia
Costa Rica Volcán Azul Gesha Anaerobic Natural,95,Light,66,82,11.46,USA,Costa Rica
Kona Pointu®,97,Medium Light,52,72,30.84,USA,USA
Colombia Calderon Honey,96,Medium Light,60,78,9.48,USA,Colombia
Karen J Kona Red Bourbon,95,Medium Light,58,78,24.23,USA,USA
Wilton Benitez Colombia Sidra,96,Light,65,83,24.0,USA,Colombia
Peru Gilmer Cordova #13,95,Light,64,88,8.52,USA,Peru
Ethiopia Kayon Mountain,95,Light,64,84,7.05,USA,Ethiopia
Kenya Gichathaini,95,Light,62,80,7.64,USA,Kenya
Colombia Honey Sweet Rose,95,Light,62,80,229.28,Taiwan,Colombia
Colombia Santa Monica Castillo Honey Lulo,94,Light,74,90,14.55,USA,Colombia
Colombia Las Flores Red Bourbon Natural,94,Medium Light,60,78,8.8,USA,Colombia
African Dance Espresso Blend,94,Medium Light,60,78,9.99,Taiwan,Guatemala
Sweetheart Blend Espresso,94,Medium Light,58,78,6.61,Taiwan,Guatemala
Kenya AA Kiri,95,Light,64,80,7.64,USA,Kenya
Guatemala Gesha,95,Medium Light,60,77,661.38,Taiwan,Guatemala
Gesha Village Ethiopia Gori Gesha,94,Light,62,80,198.41,Taiwan,Ethiopia
Kenya Machakos AA Top Washed,96,Light,62,82,180.34,Taiwan,Kenya
Indonesia Sumatra Raja Harimau Lintong Mandheling Espresso,95,Medium Light,58,77,114.64,Taiwan,Indonesia
Ethiopia Washed Guji Bishala 23/02,95,Medium Light,60,80,154.32,Taiwan,Ethiopia
Guatemala Washed Huehuetenango Joya Verde Espresso,94,Medium Light,58,79,97.0,Taiwan,Guatemala
Ethiopia Red Honey Guji Uraga Tabe Haro Wachu,94,Medium Light,58,78,149.91,Taiwan,Ethiopia
Ethiopia Natural Sidama Bare Tamiru,94,Light,64,78,171.96,Taiwan,Ethiopia
Colombia Wilton Benitez Thermal Shock Geisha,96,Medium Light,60,78,25.57,USA,Colombia
Colombia Wilton Benitez Thermal Shock Red Bourbon,95,Medium Light,60,78,16.75,USA,Colombia
Colombia Tolima Genius,94,Light,61,83,15.43,USA,Colombia
Colombia Wilton Benitez Thermal Shock Caturra,94,Medium Light,60,77,15.43,USA,Colombia
Ethiopia Natural Yirgacheffe Koke Shalaye Abraham Mengiste,94,Medium Light,60,76,176.37,Taiwan,Ethiopia
Kenya AA TOP Gicherori,97,Medium Light,60,78,275.0,Taiwan,Kenya
Panama Carmen Geisha Washed Light Roast,95,Light,62,82,12.0,Taiwan,Panama
Colombia Luna Azul,94,Medium Light,60,76,8.23,USA,Colombia
Mexico Los Aguacates,95,Light,65,82,12.35,USA,Mexico
Ethiopia Arbegona Natural 74158,95,Light,64,80,220.46,Taiwan,Ethiopia
Guatemala Nueva Granda Washed Laurina,94,Light,64,80,0.44,Taiwan,Guatemala
Ethiopia Shantawene Washed,96,Light,64,82,6.47,USA,Ethiopia
Kona Mocca®,95,Medium Light,58,74,49.8,USA,USA
Ethiopia Worka Sakaro Anaerobic Natural,96,Medium Light,60,78,6.76,USA,Ethiopia
Colombia Finca Chambaku,94,Light,62,80,7.05,USA,Colombia
Colombia La Siria Gesha,95,Medium Light,60,80,23.37,USA,Colombia
Ka‘ū Yellow Caturra Peaberry,94,Medium Light,60,77,22.05,USA,USA
Ethiopia Guji Hambela Tirtira Goyo Natural,94,Light,68,84,110.23,Taiwan,Ethiopia
El Salvador Unicorn,94,Medium Light,56,78,7.05,USA,El Salvador
Ethiopia Guji Euphora Special Honey Lot,94,Medium Light,58,72,5.29,Taiwan,Ethiopia
Ichamama Kenya,95,Medium Light,59,75,6.47,USA,Kenya
La Candelilla Geisha Natural Costa Rica,95,Medium Light,59,77,8.38,USA,Costa Rica
El Lechero Peru,94,Medium Light,59,77,5.59,USA,Peru
Colombia El Roble Natural Carbonic Java,95,Light,63,81,13.67,USA,Colombia
Colombia Nestor Lasso Sidra,95,Light,62,83,14.55,USA,Colombia
Colombia Yeast Anaerobic Washed Las Flores Bourbon Sidra,95,Light,62,81,242.5,Taiwan,Colombia
Ecuador Cruz Loma Sidra Anaerobic Euphora Special Lot,95,Light,64,80,14.11,Taiwan,Ecuador
Colombia El Roble Chiroso Washed,94,Medium Light,58,78,325.0,Taiwan,Colombia
Guatemala El Injerto SL28,94,Medium Light,62,79,10.58,USA,Guatemala
Wilton Benitez Java,96,Medium Light,60,74,11.02,USA,Colombia
HWC Holy Melody Espresso Blend,94,Medium Light,57,77,17.64,Taiwan,Ethiopia
Panama Bambito Estate Geisha Anaerobic Natural,96,Light,65,90,39.68,USA,Panama
Ethiopia Natural Sidama 74158,96,Light,62,80,396.83,Taiwan,Ethiopia
Mr. Dodd’s TeaTime Blend,95,Medium Light,56,72,143.3,Taiwan,Guatemala
Colombia Double Anaerobic Washed Los Nogales Yellow Bourbon,95,Light,64,80,255.73,Taiwan,Colombia
Colombia El Chaferote Pink Bourbon,95,Medium Light,63,77,9.88,USA,Colombia
Guatemala El Injerto Ethiopia Landrace Natural,94,Medium Light,57,74,11.76,USA,Guatemala
Holiday Coffee,95,Medium Light,58,66,30.84,USA,Unknown
Kenya Muthua-Ini AB,95,Medium Light,58,77,6.47,USA,Kenya
Kenya Gichuka AA,95,Medium Light,60,78,6.16,USA,Kenya
Colombia Chili Bourbon,94,Light,62,80,9.83,USA,Colombia
Chelbessa Ethiopia,95,Medium Light,60,76,6.17,USA,Ethiopia
Ethiopia Yirgacheffe Gedeb Chelbesa Natural,95,Medium Light,59,76,211.64,Taiwan,Ethiopia
Tirra Natural Costa Rica,94,Medium Light,59,77,6.47,USA,Costa Rica
Colombia Huila Espiritu Blanc Geisha Semi-Washed Anaerobic,94,Medium Light,63,71,480.0,Taiwan,Colombia
Costa Rica San Ramon Yeast Washed,94,Light,63,79,145.5,Taiwan,Costa Rica
Hawai’i Island Blend Espresso,94,Medium Light,52,70,17.64,USA,USA
Kenya Washed Kiambu Windrush AA,96,Medium Light,57,77,149.91,Taiwan,Kenya
Guatemala El Amate Maragogype,94,Medium Light,60,76,7.94,USA,Guatemala
Ethiopia Natural Guji Blue Donkey 23,94,Medium Light,58,76,143.3,Taiwan,Ethiopia
Ethiopia Natural Yirgacheffe Worka Nenke Abraham Mengiste,94,Medium Light,60,78,127.87,Taiwan,Ethiopia
Ethiopia Koke,95,Light,62,80,6.76,USA,Ethiopia
Panama Florsa 100 Geisha FW 1600+,95,Light,65,81,198.24,Taiwan,Panama
Ethiopia Bench Maji Gesha Winey Natural G1,94,Medium Light,60,77,136.56,Taiwan,Ethiopia
Wilton Benitez Sidra,94,Medium Light,58,74,9.7,USA,Colombia
Panama Hacienda La Esmeralda Geisha Natural,95,Medium Light,60,77,19.4,Taiwan,Panama
Panama Hacienda La Esmeralda Geisha Washed,95,Light,64,78,17.64,Taiwan,Panama
Grand Champion Red Bourbon Natural,96,Medium Light,52,72,30.86,USA,Unknown
Sumatra Lintong Kardon,95,Medium Light,56,74,6.17,USA,Indonesia
Panama Finca Don Julian Geisha Washed,94,Light,65,81,1.0,Taiwan,Panama
Colombia Finca La Roca,94,Medium Light,60,77,7.64,USA,Colombia
Ethiopia YirgZ,95,Medium Light,62,78,7.94,USA,Ethiopia
Colombia Patio Bonita,94,Light,64,80,7.94,USA,Colombia
Ethiopia Yirgacheffe Farmgate,94,Medium Light,59,75,7.94,USA,Ethiopia
Promise of Spring,94,Medium Light,59,76,225.0,Taiwan,Ethiopia
Ethiopia Gesha Rebecca Natural,94,Medium Light,61,74,250.0,Taiwan,Ethiopia
Colombia Finca El Paraíso Geisha Sake,96,Light,65,82,52.91,USA,Colombia
Tanzania Nyasi Furaha,94,Medium Light,62,74,5.59,USA,Tanzania
Kenya Gachatha AA Top,95,Medium Light,58,74,145.5,Taiwan,Kenya
Kenya Nyeri Gatuya Factory AA Top,94,Medium Light,57,76,143.3,Taiwan,Kenya
Costa Rica Tarrazu Double Anaerobic Washed,94,Medium Light,60,77,198.41,Taiwan,Costa Rica
Wilton Benitez Pink Bourbon Colombia,98,Medium Light,62,78,8.82,USA,Colombia
Costa Rica Las Lajas SL28 Natural,95,Light,62,80,8.82,USA,Costa Rica
Nano Genji #12 Ethiopia,95,Medium Light,58,74,6.76,USA,Ethiopia
Gesha Spirits,95,Light,62,80,16.93,USA,Colombia
Panama HWC Coffee Estate Washed,94,Medium Light,59,73,35.27,Taiwan,Panama
Colombia Fruit Maceration Series Lulo Bear,94,Light,64,80,12.0,USA,Colombia
Colombia Huila Charlotte Geisha Washed,94,Light,65,79,198.41,Taiwan,Colombia
Colombia Wilton Benitez Double Anaerobic Thermal Shock Yellow Gesha,94,Light,62,80,24.0,USA,Colombia
More Floral,94,Light,66,80,132.28,Taiwan,Ethiopia
Yemen Al Kawlah Special Reserve Natural,95,Medium Light,60,77,11.74,USA,Yemen
Kona K7,95,Light,63,79,30.86,USA,USA
Ecuador La Josefina Estate,94,Light,62,84,7.35,USA,Ecuador
Ethiopia Kafa Natural,94,Light,65,79,6.76,USA,Ethiopia
El Salvador Bourbon Semi-Washed,94,Medium Light,58,72,5.14,USA,El Salvador
Ethiopia Worka Sakaro Anaerobic Natural,94,Medium Light,62,78,6.47,USA,Ethiopia
Bale Mountain Natural Ethiopia,94,Light,64,80,6.76,USA,Ethiopia
Ethiopia Sidama Arbegona 74158 Washed,94,Light,66,80,105.73,Taiwan,Ethiopia
La Papaya Ecuador Geisha Natural,96,Medium Light,59,75,8.52,USA,Ecuador
Colombia Tolima Finca El Vergel Rebel Geisha,95,Light,63,81,275.0,Taiwan,Colombia
Colombia Buenos Aires Honey Process-Yellow Velvet Peach,95,Medium Light,60,77,260.0,Taiwan,Colombia
Encounter of Summer,94,Light,62,80,225.0,Taiwan,Ethiopia
Kenya,95,Medium Dark,35,51,302.22,Taiwan,Kenya
SL34 Dark Roast,94,Medium Dark,48,52,30.84,USA,Unknown
Ethiopia Bench Maji Geisha Lucy Station Dark Roast,94,Medium Dark,45,52,300.0,Taiwan,Ethiopia
Kenya AB Athena Plus,94,Dark,33,44,352.73,Taiwan,Kenya
Kenya Muranga,94,Medium Dark,41,44,0.42,Taiwan,Kenya
Costa Rica Turrialba Volcano Honey Process,94,Medium Light,59,77,143.3,Taiwan,Costa Rica
Colombia Huila Finca El Triunfo Martha Zuñiga Pink Bourbon,94,Medium Light,58,74,9.41,USA,Colombia
Kenya Kanwangi AA,94,Medium Light,59,80,7.05,USA,Kenya
Ethiopia Bench Maji Geisha Lucy Station,94,Light,64,83,300.0,Taiwan,Ethiopia
Ecuador Peñaherrera AAA,95,Medium Light,60,77,7.35,USA,Ecuador
HWC Geisha Plus Geisha Black Espresso,95,Medium Light,54,72,19.84,Taiwan,Ethiopia
Ethiopia Yirgacheffe Jade Lotus,94,Medium Light,59,75,8.82,Taiwan,Ethiopia
Blue Sunda Estate Java,94,Medium Light,60,75,5.59,USA,Indonesia
La Papaya Natural Ecuador,95,Medium Light,58,80,8.38,USA,Ecuador
Wilton Benitez Tabi VIP Colombia,95,Light,64,86,6.47,USA,Colombia
El Mango Peru,94,Medium Light,56,77,5.59,USA,Peru
Banko Gotiti Ethiopia,95,Medium Light,60,78,5.88,USA,Ethiopia
El Morito Guatemala,94,Medium Light,59,76,8.38,USA,Guatemala
Pantan Musara Sumatra,95,Medium Light,56,78,6.76,USA,Indonesia
Giakanja Kenya,94,Medium Light,59,79,7.35,USA,Kenya
Ethiopia Basha Bekele,95,Light,62,86,6.76,USA,Ethiopia
Colombia Luz Helena Salazar Wine Yeast Grape Honey,94,Medium Light,58,80,350.0,Taiwan,Colombia
Ka‘ū Malolactic Natural,94,Medium Light,62,76,35.27,USA,USA
Jade Rabbit Espresso Blend,95,Medium,46,70,286.6,Taiwan,Kenya
Colombia Finca Paraiso Gesha Wilton Benitez,94,Light,64,84,24.0,USA,Colombia
Colombia Finca La España Gesha,94,Light,64,84,24.0,USA,Colombia
Colombia Huila La Esperanza Pink Bourbon Honey,94,Medium Light,62,76,167.55,Taiwan,Colombia
Ethiopia Halo Beriti Single-Origin Espresso,95,Medium Light,56,74,7.05,USA,Ethiopia
Ethiopia Gora Kone,94,Light,62,84,6.91,USA,Ethiopia
Ecuador Finca Lugmapata,94,Medium Light,62,79,12.93,USA,Ecuador
Costa Rica Raisin Honey,94,Medium Light,60,76,7.64,USA,Costa Rica
Quindio Gold Honey Colombia,94,Light,62,80,7.94,USA,Colombia
Organic Peru San Fernando Tres Fincas Gesha,95,Medium Light,58,80,8.52,USA,Peru
Kenya Washed Kiambu Gititu AB Top,95,Light,60,82,132.28,Taiwan,Kenya
Ethiopia Natural Guji Dasaya,95,Light,62,86,127.87,Taiwan,Ethiopia
Kona Classic,94,Medium Light,60,78,22.05,USA,USA
Hawai’i Ka‘ū Champagne Natural,94,Medium Light,60,78,22.05,USA,USA
Ethiopia Sidamo Rumudamo Premium,95,Light,64,84,176.37,Taiwan,Ethiopia
Yemen Natural Hamoud Abdullah AL-Khisheni,94,Light,62,80,529.1,Taiwan,Yemen
Guatemala Acatenango Gesha,94,Light,67,86,0.44,Taiwan,Guatemala
Kenya Gatomboya,94,Medium Light,59,77,8.82,USA,Kenya
Ethiopia Guji,94,Light,65,86,79.37,Taiwan,Ethiopia
Burundi Nemba Washed Process,94,Medium Light,60,77,6.76,USA,Burundi
Worka Sakaro Ethiopia,95,Light,62,84,5.88,USA,Ethiopia
Teremuka Peaberry Kenya,94,Medium Light,60,77,7.05,USA,Kenya
Teremuka Kenya,94,Medium Light,60,77,7.05,USA,Kenya
El Salvador La Muela Pacamara,94,Medium Light,58,77,6.76,USA,El Salvador
Colombia Finca Juan Martin Aced Sidra,95,Light,62,80,9.26,USA,Colombia
Guatemala Natural Santa Felisa Gesha SF-04 95,95,Medium Light,59,75,573.19,Taiwan,Guatemala
Colombia Red Bomb,94,Medium Light,59,77,7.35,USA,Colombia
Ethiopia 2022 COE #3 Washed Temam 74110,95,Light,62,86,0.88,Taiwan,Ethiopia
Espresso Giusto,94,Medium Light,54,72,4.98,USA,Mexico
Golden Parrot Blend Espresso,94,Medium Light,58,78,92.59,Taiwan,Colombia
Galaxy Gesha Quindio Colombia Edwin Noreña,95,Light,65,86,11.3,USA,Colombia
Ka‘ū JN Farms Malolactic Honey,95,Light,62,84,35.27,USA,USA
Colombia Finca El Paraiso Rose Tea,94,Light,64,88,500.0,Taiwan,Colombia
Colombia Monteblanco Rodrigo Sanchez Carbonic Maceration,94,Light,56,86,7.73,USA,Colombia
Colombia Cauca Granja Paraiso 92 – Pink Bourbon,94,Light,67,99,10.29,USA,Colombia
Ethiopia Gatta Anaerobic,94,Light,65,92,10.14,USA,Ethiopia
Colombia Osmanthus Bouquet Granja Paraiso 92,94,Light,64,82,28.0,South Korea,Colombia
Colombia Granja Paraíso-92- Papayo Kōji,95,Light,64,84,35.27,USA,Colombia
Ethiopia Dinkalem Ademe Wush Wush,95,Light,62,84,8.23,USA,Ethiopia
Colombia Pink Bourbon,95,Light,64,82,12.0,USA,Colombia
Kenya Kiambu Mandela Estate AA Washed Process,94,Medium Light,60,77,153.88,Taiwan,Kenya
Costa Rica Volcán Azul Geisha Yeast-Washed,94,Light,62,80,349.0,Taiwan,Costa Rica
Ethiopia Yirgacheffe Adame G1 Natural,94,Light,63,79,242.5,Taiwan,Ethiopia
Kenya Gichathaini,94,Light,64,82,7.35,USA,Kenya
Guatemala Retiro del Quisaya Natural Process,94,Medium Light,59,78,5.57,USA,Guatemala
Ethiopia Sidama Karamo Anaerobic Natural,94,Medium Light,62,79,10.29,USA,Ethiopia
Colombia Geiner Montano,94,Medium Light,62,78,7.2,USA,Colombia
Kabiufa Papua New Guinea,94,Medium Light,58,77,5.88,USA,Papua New Guinea
Ka‘u Red Catuai Peaberry,94,Medium Light,59,74,26.46,USA,USA
Ethiopia Kayon Mountain,94,Light,64,82,6.16,USA,Ethiopia
Panama Finca Las Nubes Geisha Microlot,94,Medium Light,60,77,6.61,USA,Panama
Guatemala El Milagro Bourbon Especial,95,Medium Light,60,78,8.23,USA,Guatemala
Costa Rica William Mora,94,Light,65,84,8.23,USA,Costa Rica
Ethiopia Duromina Agaro Gera,94,Light,62,81,5.0,USA,Ethiopia
Winter 2022 Allocation Colombia,94,Light,62,80,29.39,USA,Colombia
Laura’s Reserve SL34,96,Medium Light,60,80,30.84,USA,Unknown
El Salvador 2022 COE#17 El Mirador Washed Gesha,96,Medium Light,58,78,440.92,Taiwan,El Salvador
Panama ABU Washed Gesha Lot GW57,95,Light,64,84,0.88,Taiwan,Panama
Guatemala Natural El General Bistro Lot Espresso,94,Medium Light,58,76,127.87,Taiwan,Guatemala
Ethiopia 2022 COE#25 Natural Tadesse 74112,94,Light,65,84,396.83,Taiwan,Ethiopia
Ethiopia Washed Sidama Rumudamo,94,Light,64,86,171.96,Taiwan,Ethiopia
Lemon Sugar Wash,95,Medium Light,59,77,244.44,Taiwan,Ethiopia
Kenya Kiambu AA,95,Medium Light,60,76,288.89,Taiwan,Kenya
Colombia Geisha Allium,94,Light,62,84,28.66,USA,Colombia
Wilton Benitez Orange Bourbon,96,Light,60,82,8.38,USA,Colombia
Kayon Mountain Ethiopia,94,Medium Light,58,78,5.29,USA,Ethiopia
Ethiopia Kochere Arefasa Washed G1,94,Light,62,80,220.26,Taiwan,Ethiopia
Colombia Granja Paraíso Java P14,95,Light,64,82,44.09,USA,Colombia
El Salvador Finca El Retiro Sudan Rume Natural,94,Medium Light,62,78,6.96,Taiwan,El Salvador
Ethiopia Hayissa Olocho Lot 6,94,Light,61,82,9.52,USA,Ethiopia
Nyeri Hill Kenya,94,Medium Light,58,80,6.47,USA,Kenya
Ethiopia COE #8 Sidama Arbegona Muluneh Tute Galcho 74158 Natural,95,Light,63,82,850.0,Taiwan,Ethiopia
Chelbessa Ethiopia,94,Medium Light,60,78,5.88,USA,Ethiopia
Ka’u Tropical Punch,94,Medium Light,60,78,22.05,USA,USA
Ethiopia Gesha Village Illubabor Forest Lot 22/043 (Single-Terroir) Natural Process,94,Light,64,84,299.0,Taiwan,Ethiopia
Ethiopia Gera Genji Challa,94,Medium Light,59,77,8.23,USA,Ethiopia
Kenya Gotomboya Peaberry,94,Medium Light,59,77,7.94,USA,Kenya
Panama Hartmann Estate Chicho Gallo Amaro Gayo Natural BOP#1,94,Medium Light,60,78,549.0,Taiwan,Panama
Kenya Ichamama,94,Medium Light,59,77,8.23,USA,Kenya
Ethiopia Uchoro Nansebo Washed,95,Light,60,82,7.94,USA,Ethiopia
Nekisse Phantom Roasting,95,Light,64,83,433.33,China,Ethiopia
Colombia Finca Samboni Gesha Anaerobic Natural,94,Medium Light,62,78,8.82,USA,Colombia
Kambera Inari Roasting,94,Light,62,80,353.33,China,Panama
Colombia Don Correa Gesha,94,Light,62,80,9.69,USA,Colombia
Ethiopia BergWu Maker Series Yirgacheffe Wuri G1 Lot MW21/02,94,Medium Light,62,78,64.0,China,Ethiopia
Mexico Finca Santa Cruz COE#1b,94,Light,64,84,498.0,China,Mexico
Wilton Benitez Geisha,95,Medium Light,59,81,11.02,USA,Colombia
Colombia Cerro Azul Geisha,95,Light,62,80,26.01,USA,Colombia
Yirgacheffe Mengesha Natural,94,Medium Light,60,77,6.03,USA,Ethiopia
Panama Geisha Finca Debra Symbiosis,94,Light,62,80,39.68,USA,Panama
Panama Geisha Finca Debra Echo,94,Light,64,80,20.0,USA,Panama
Ethiopia Hamasho Washed,95,Light,62,81,7.35,USA,Ethiopia
Ethiopia Idido Anaerobic Natural,95,Medium Light,61,80,11.76,USA,Ethiopia
Mexico Cup of Excellence #7,94,Light,62,80,11.76,USA,Mexico
Ethiopia Reko Yirgacheffe,94,Medium Light,60,76,6.91,USA,Ethiopia
Double-Anaerobic Fermentation Tamiru Tadesse,94,Light,62,80,14.11,USA,Ethiopia
Ethiopia Chelbesa Danche Yirgacheffe,94,Medium Light,60,77,7.05,USA,Ethiopia
Ethiopia Honey Process Tamiru Tadesse,94,Light,64,83,12.35,USA,Ethiopia
Ethiopia Halo Beriti,96,Medium Light,60,77,6.16,USA,Ethiopia
Narsha Gesha,96,Light,63,81,17.5,USA,Ethiopia
Ethiopia Washed Guji Uraga Welichu,96,Medium Light,58,78,165.34,Taiwan,Ethiopia
Don Roger & Isabel’s Natural Fruit Symphony,94,Medium Light,60,77,10.86,USA,Nicaragua
Kenya Gitare AA TOP,95,Light,62,80,149.91,Taiwan,Kenya
Yemen Natural Sana’a Manakhah Ja’adi,95,Medium Light,58,77,793.65,Taiwan,Yemen
