coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country;clean_location
Panama Los Lajones Bambu Geisha Natural;94.0;Ramsey, Minnesota;Boquete growing region, western Panama;Medium Light;$59.95/8 ounces;58.0;75.0;26,43;59.95;Panama;ramsey, minnesota
Juliette Red Ninety Plus Gesha Estate Panama;94.0;Seoul, South Korea;Silla Del Pando, Volcan, Panama.;Medium Light;KRW 35,000/100 grams;53.0;72.0;35;;;seoul, south korea
100% Kona High Mountain Io Extra Fancy;94.0;Holualoa, Hawaii;Holualoa, North Kona growing district, Hawaii.;Medium Light;$35.95/8 ounces;55.0;75.0;15,85;35.95;;holualoa, hawaii
Sumatra Blue Batak Peaberry;94.0;Sacramento, California;Lintong growing region, North Sumatra, Indonesia.;Medium;$16.50/12 ounces;53.0;68.0;4,85;45793,00;;sacramento, california
Panama Gesha Ninety Plus Perci Red;95.0;Yorktown Heights, New York;Silla Del Pando, Volcan, Panama.;Medium;$65.00/12 ounces;52.0;68.0;19,11;65.0;;yorktown heights, new york
El Agulia Pacamara El Salvador;94.0;Olympia, Washington;Santa Ana Region, El Salvador.;Light;$17.40/12 ounces;63.0;82.0;5,11;45764,00;;olympia, washington
Mexico Finca Kassandra Pacamara;94.0;Berlin, Massachusetts;Vera Cruz growing region, Mexico.;Medium Light;$17.00/12 ounces;55.0;68.0;5;17.0;;berlin, massachusetts
Panama Finca Santa Teresa Honey Geisha;94.0;I-Lan City, Taiwan;Volcan growing region, western Panama.;Medium;NT $2800/8 ounces;55.0;66.0;1234,57;2800.0;;i-lan city, taiwan
Batista Natural Geisha;94.0;Kaohsiung City, Taiwan;Volcan growing region, western Panama.;Light;NT $1900/8 ounces;65.0;84.0;837,74;1900.0;;kaohsiung city, taiwan
Perci N2 Ninety Plus Gesha Estates Panama;94.0;Seoul, Korea;Silla Del Pando, Volcan, Panama.;Medium Light;KRW 35,000/100 grams;58.0;71.0;35;;;seoul, korea
Ethiopia Sidama Deri Kochoha;94.0;Bedford, New Hampshire;Sidamo (also Sidama) growing region, southern Ethiopia.;Medium;$13.50/12 ounces;52.0;66.0;3,97;45790,00;;bedford, new hampshire
Kenya Kirinyaga Karimikui Peaberry;95.0;Bedford, New Hampshire;Karimikui growing region, central Kenya.;Medium;$14.50/12 ounces;52.0;66.0;4,26;45791,00;;bedford, new hampshire
Ethiopia Yirgacheffe;94.0;Portland, Oregon;Yirgacheffe growing region, southern Ethiopia.;Light;$15.00/12 ounces;59.0;84.0;4,41;15.0;;portland, oregon
Panama Auromar Estate “Ironman” Geisha;94.0;Topeka, Kansas;Boquete growing region, western Panama;Medium Light;$52.99/8 ounces;56.0;82.0;23,36;52.99;Panama;topeka, kansas
Guatemala Acatenango Gesha;95.0;Billings, Montana;Acatenango growing region, Guatemala.;Medium;$20.00/8 ounces;50.0;65.0;8,82;20.0;;billings, montana
Kenya Ruira Mchana Estate;94.0;Newport Beach, California;Ruiru growing region, central Kenya.;Medium;$15.50/12 ounces;51.0;55.0;4,56;45792,00;;newport beach, california
Honeyed Yellow Caturra;94.0;Mountain View, Hawaii;"Puna District, ""Big Island"" of Hawaii";Medium;$20.00/6 ounces;52.0;60.0;11,76;20.0;Hawaii;mountain view, hawaii
Hawaii Ka’u Isla;94.0;Ramsey, Minnesota;Ka'u growing district, Big Island of Hawaii;Medium Light;$32.95/12 ounces;57.0;75.0;9,69;32.95;Hawaii;ramsey, minnesota
Ethiopia Yirgacheffe Kochere Grade 1;94.0;Sacramento, California;Yirgacheffe growing region, southern Ethiopia.;Medium Light;$15.50/12 ounces;58.0;74.0;4,56;45792,00;;sacramento, california
Colombia Valle del Cauca Cerro Azul Geisha AAA;96.0;Seattle, Washington;Valle del Cauca growing region, Colombia.;Medium Light;$59.75/8 ounces;60.0;81.0;26,34;59.75;;seattle, washington
Nyala Kenya Peaberry;94.0;Madison, Wisconsin;Central Kenya.;Medium Light;$14.99/12 ounces;55.0;68.0;4,41;14.99;;madison, wisconsin
Ethiopia Kercha Naturally Processed Sidama;94.0;Calgary, Alberta, Canada;Sidama (also Sidamo) growing region, southern Ethiopia.;Light;CAD $17.78/12 ounces;64.0;81.0;5,23;;;calgary, alberta, canada
