coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country;clean_location;Country
Colombia Finca Campo Hermosa;94.0;Cleveland, Tennessee;Quindio Department, Colombia;Light;$29.99/8 ounces;62.0;82.0;13,22;29.99;Colombia;Cleveland, Tennessee;USA
Colombia Finca La Sirena Mango Co-Ferment;94.0;Cleveland, Tennessee;Quindio Department, Colombia;Light;$22.99/8 ounces;63.0;87.0;10,14;22.99;Colombia;Cleveland, Tennessee;USA
In Bloom;94.0;Jersey City, New Jersey;"Colombia; Ethiopia";Light;$25.00/250 grams;64.0;88.0;10;0.8818342151675485;Ethiopia;Jersey, New Jersey;USA
Ethiopia Washed Kaffa Gimbo Lot Rich Espresso;96.0;Chia-Yi, Taiwan;Gimbo, Kaffa Province, Ethiopia;Medium Light;NT $250/8 ounces;55.0;77.0;110,23;250.0;Ethiopia;Chia-Yi, Taiwan;Taiwan
Ethiopia Natural Gute Bona;95.0;Chia-Yi, Taiwan;Sidamo growing region, southern Ethiopia;Medium Light;NT $400/8 ounces;62.0;78.0;176,37;400.0;Ethiopia;Chia-Yi, Taiwan;Taiwan
White Geisha Blend Espresso;95.0;Taichung, Taiwan;"Panama; Ethiopia";Medium Light;$39.00/8 ounces;60.0;78.0;17,2;39.0;Ethiopia;Taichung, Taiwan;Taiwan
Yunlin Natural Geisha CPAG-1;95.0;Yunlin, Taiwan;Yunlin, Taiwan;Medium Light;NT $800/4 ounces;60.0;78.0;705,47;800.0;Taiwan;Yunlin, Taiwan;Taiwan
Colombia Natural Huila Eulises Guzman;94.0;Chia-Yi, Taiwan;Huila Department, Colombia;Medium Light;NT $350/8 ounces;60.0;80.0;154,32;350.0;Colombia;Chia-Yi, Taiwan;Taiwan
Peru Washed Cusco Buena Vista Soola SL09;94.0;Chia-Yi, Taiwan;Cusco, Peru;Medium Light;NT $300/4 ounces;58.0;77.0;264,55;300.0;Peru;Chia-Yi, Taiwan;Taiwan
Yunlin Natural Geisha;94.0;Yunlin, Taiwan;Yunlin, Taiwan;Light;NT $600/4 ounces;60.0;84.0;529,1;600.0;Taiwan;Yunlin, Taiwan;Taiwan
Hechi;94.0;Taipei, Taiwan;Sidamo growing region, southern Ethiopia;Light;NT $330/8 ounces;60.0;86.0;145,5;330.0;Ethiopia;Taipei, Taiwan;Taiwan
Las Margaritas Sudan Rume;95.0;Madison, Wisconsin;Caicendonia, Valle Del Cauca, Cauca Department, Colombia;Light;$27.00/8 ounces;60.0;84.0;11,9;27.0;Colombia;Madison, Wisconsin;USA
Wilton Benitez Geisha;95.0;Madison, Wisconsin;Piendamo, Cauca Department, Colombia;Light;$26.00/8 ounces;62.0;84.0;11,46;26.0;Colombia;Madison, Wisconsin;USA
Itumpi Tanzania;94.0;Madison, Wisconsin;Mbozi District, Songwe Region, Tanzania;Medium Light;$22.00/12 ounces;59.0;81.0;6,47;22.0;Tanzania;Madison, Wisconsin;USA
Ethiopia Yirgacheffe G1 Gotiti Angel Station Geisha Washed;94.0;Yilan, Taiwan;Gedeb District, Gedeo Zone, southern Ethiopia;Light;NT $550/200 grams;62.0;82.0;275;19.400352733686066;Ethiopia;Yilan, Taiwan;Taiwan
Ethiopia Guji Hambela Buku Abel Bastet Geisha Washed;94.0;Yilan, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Light;NT $550/200 grams;63.0;85.0;275;19.400352733686066;Ethiopia;Yilan, Taiwan;Taiwan
Finca Cruz Loma Ecuador Geisha;96.0;Madison, Wisconsin;San José de Minas, Pichincha Province, Ecuador;Medium Light;$32.00/8 ounces;60.0;77.0;14,11;32.0;Ecuador;Madison, Wisconsin;USA
